Sim,Dose,Rate
15,200,0.32727488275760297
15,400,0.3423088833978089
15,800,0.41098938082814723
16,10,0.09999464752604358
16,25,0.2852561155149532
16,50,0.37598624678684867
16,100,0.6084944037144931
16,200,0.6917176744318906
16,400,0.7955448706340745
16,800,0.8176372438725537
17,10,0.0856704985190937
17,25,0.09232460155354809
17,50,0.11773083265385131
17,100,0.1221729107619278
17,200,0.15900405985879745
17,400,0.2740853785178004
17,800,0.3190068846043628
18,10,0.22672540938679953
18,25,0.2915981913212944
18,50,0.3859091655080702
18,100,0.41079465666468434
18,200,0.4335020156626717
18,400,0.5432831178558055
18,800,0.5760979238930273
19,10,0.17169690684926608
19,25,0.1926958568376289
19,50,0.19389844692659636
19,100,0.2562104863344983
19,200,0.310015541191313
19,400,0.5152196035459355
19,800,0.5386439048471611
20,10,0.029597907597004838
20,25,0.05680418796119622
20,50,0.07315584113422964
20,100,0.10432961048222736
20,200,0.18280556584687835
20,400,0.2168516203084683
20,800,0.2918230055171737
21,10,0.0064094496587003965
21,25,0.07558720327183553
21,50,0.07857930211973489
21,100,0.3169953889533423
21,200,0.6745272801253318
21,400,0.8368912728616649
21,800,0.9401441497298194
22,10,0.03168522885414909
22,25,0.15418568852737455
22,50,0.1558770990506597
22,100,0.2754283219229068
22,200,0.5890660661670716
22,400,0.7391022224447231
22,800,0.8223677949075657
23,10,0.005206853490704169
23,25,0.10687657602320054
23,50,0.16310962490096162
23,100,0.22281432100361717
23,200,0.22469936488907225
23,400,0.4234017409337116
23,800,0.5478577021263217
24,10,0.006327449704183974
24,25,0.009244947224569087
24,50,0.09951076188740028
24,100,0.11102966652054642
24,200,0.16412576829249548
24,400,0.2932350168129759
24,800,0.32411868250030423
25,10,0.26110338594014193
25,25,0.27926374503133583
25,50,0.3007785306842761
25,100,0.3603528283502922
25,200,0.43845222198189826
25,400,0.46781624272284805
25,800,0.4757105954561448
26,10,0.032673297410399524
26,25,0.062443104456213504
26,50,0.06755197625171108
26,100,0.1816632633319164
26,200,0.18773956053763857
26,400,0.2970759157028585
26,800,0.4387241096905042
27,10,0.08451434254278875
27,25,0.10798924068036653
27,50,0.12483977829597899
27,100,0.34745839204599877
27,200,0.36870851893529266
27,400,0.4606137571182344
27,800,0.6890350256019934
28,10,0.04131616708407898
28,25,0.05952175428078282
28,50,0.08645466505235747
28,100,0.0920341686387733
28,200,0.12056056882614598
28,400,0.25794382183351733
28,800,0.3228501165571028
29,10,4.0377719740142135e-4
29,25,0.012103350169616726
29,50,0.03878859992809272
29,100,0.06094070705315036
29,200,0.12995428529770225
29,400,0.18615074045679103
29,800,0.19204941733463285
30,10,0.006625867630084078
30,25,0.007512841660072905
30,50,0.03346112471880077
30,100,0.06776592553955403
30,200,0.13064760174219744
30,400,0.1450003076438546
30,800,0.3059433058317101
31,10,6.388657754027283e-5
31,25,0.014196467090196686
31,50,0.04639333001852891
31,100,0.12106586900478268
31,200,0.14752029899927183
31,400,0.21725099896977637
31,800,0.2984475540774847
32,10,0.10447126128699201
32,25,0.22152241274204895
32,50,0.26551525209627913
32,100,0.5651600416763611
32,200,0.838122545048284
32,400,0.8644405384919913
32,800,0.9337088917416391
33,10,0.041035760732596724
33,25,0.08372105455225705
33,50,0.09672452726114923
33,100,0.11803556135203554
33,200,0.13721796405531447
33,400,0.20324218765353944
33,800,0.34031745162816457
34,10,0.3567895998763833
34,25,0.4449025748244031
34,50,0.45277409876290675
34,100,0.47509761150435
34,200,0.4858834860961655
34,400,0.5926855689597786
34,800,0.7620403913571955
35,10,0.13620984730725086
35,25,0.2631915009390663
35,50,0.31770741828556337
35,100,0.667447595323246
35,200,0.6877620099490426
35,400,0.8652796809741109
35,800,0.9582144283171006
36,10,0.16261033196179595
36,25,0.2068926339216857
36,50,0.2363112952142679
36,100,0.4426367012989974
36,200,0.7542189837497846
36,400,0.8141116544566135
36,800,0.8473767605391529
37,10,0.06245841922621135
37,25,0.07023130771056774
37,50,0.07781722483653673
37,100,0.1388048344230732
37,200,0.23664042531284182
37,400,0.23850368766577107
37,800,0.4597951337538834
38,10,0.054192480821424055
38,25,0.16566026500512343
38,50,0.18195121635825204
38,100,0.18272413399836693
38,200,0.21729267093556687
38,400,0.25920722444369
38,800,0.463075677389224
39,10,0.09872758934169301
39,25,0.38734527323006945
39,50,0.49823002004451167
39,100,0.6027828943886355
39,200,0.6786252466377343
39,400,0.6786484340902568
39,800,0.6971445380738768
40,10,0.21955471408754404
40,25,0.35142347652747685
40,50,0.4090734988351718
40,100,0.4415697420796727
40,200,0.47223540224224575
40,400,0.5785148893739849
40,800,0.5895457387521361
41,10,0.1497787026694579
41,25,0.1808813349242778
41,50,0.2862162496726424
41,100,0.33414196298579246
41,200,0.6219199778523635
41,400,0.9276902376640755
41,800,0.9299264034028661
42,10,0.006191902777729965
42,25,0.009854650349017486
42,50,0.06145443642108742
42,100,0.06316116378847844
42,200,0.06632650448805741
42,400,0.08894430211293512
42,800,0.1304919483018034
43,10,0.039506895786340625
43,25,0.15265304762864637
43,50,0.16820168300860883
43,100,0.16897323276965523
43,200,0.17481562155155483
43,400,0.19262486774645918
43,800,0.238028961346828
44,10,0.06283879560169801
44,25,0.10031272075964703
44,50,0.37319853053037494
44,100,0.6310946294460611
44,200,0.6850216045974412
44,400,0.8596328762245925
44,800,0.8809239439959917
45,10,0.03778214485293643
45,25,0.05120627725493713
45,50,0.08130032188380952
45,100,0.18038119063543367
45,200,0.20859286137009034
45,400,0.22305892443119188
45,800,0.48047768202385
46,10,0.21319596860646162
46,25,0.3761686634229566
46,50,0.4201865070950234
46,100,0.4775216712534759
46,200,0.5622906382271056
46,400,0.7361103751337125
46,800,0.7650388574369011
47,10,0.03742997670047344
47,25,0.04775691551411274
47,50,0.08450550207005443
47,100,0.12161257962627135
47,200,0.1675491228943926
47,400,0.3848031027514036
47,800,0.4446187312175879
48,10,0.005658319180692268
48,25,0.0681592947057724
48,50,0.09609514636780415
48,100,0.3061396601030539
48,200,0.4711693467644966
48,400,0.4797935867764438
48,800,0.5237668927589739
49,10,0.05549595673308825
49,25,0.0675845902711444
49,50,0.0798447267565847
49,100,0.1057235840078152
49,200,0.10929017994613303
49,400,0.2760768052956034
49,800,0.48105040067040833
50,10,0.0024485820152711666
50,25,0.024014574121359798
50,50,0.10555801783759258
50,100,0.1497656467915088
50,200,0.18736669788115412
50,400,0.2047923500276477
50,800,0.26674182276932756
51,10,0.023889112606268286
51,25,0.2914713024463835
51,50,0.3541861286077078
51,100,0.4856857518569379
51,200,0.5604584429389998
51,400,0.6237447791806606
51,800,0.9688267182279064
52,10,0.059467964781731546
52,25,0.08542893517033372
52,50,0.10817417788629063
52,100,0.21051416797358682
52,200,0.21347187488949843
52,400,0.2495616031401096
52,800,0.6917828657566607
53,10,0.008509686952739508
53,25,0.20579955250917004
53,50,0.39343754863415076
53,100,0.48327202196859065
53,200,0.7053821534876309
53,400,0.7667550162072856
53,800,0.7876992661098061
54,10,0.023581213621395928
54,25,0.07160512415686728
54,50,0.07557510308985604
54,100,0.28811406728060646
54,200,0.3338697244062431
54,400,0.34327533013774747
54,800,0.46997300887708315
55,10,0.057426394119511795
55,25,0.3796527765261132
55,50,0.42043732717225163
55,100,0.578902063287092
55,200,0.616992194082904
55,400,0.6873961460430693
55,800,0.7792179154629514
56,10,0.14284984774870602
56,25,0.23277266669943686
56,50,0.2643593443817063
56,100,0.38470627259366763
56,200,0.5520190930517049
56,400,0.754653458569878
56,800,0.8761767815073764
57,10,0.0393531067626735
57,25,0.060902666921083766
57,50,0.07062352950852789
57,100,0.22147764264656772
57,200,0.22721268684352572
57,400,0.3049753966766986
57,800,0.44564293906779634
58,10,0.20085881427045577
58,25,0.28080876338443805
58,50,0.28369459070786157
58,100,0.28799391931561674
58,200,0.42195292778312404
58,400,0.6691745445357505
58,800,0.6941140455491348
59,10,0.2333876177671876
59,25,0.2858659144429897
59,50,0.5466930483112221
59,100,0.5908200703745239
59,200,0.6581202206719743
59,400,0.7079285690909183
59,800,0.8822033667953301
60,10,0.11512663227290222
60,25,0.1407970816628178
60,50,0.14805109421622234
60,100,0.2851341244803562
60,200,0.4102917716240358
60,400,0.5442648282445243
60,800,0.5705211470812933
61,10,0.053809085431651776
61,25,0.11717503464813718
61,50,0.1488310806329394
61,100,0.5290568694531221
61,200,0.6465454918885221
61,400,0.7276939036613614
61,800,0.7597509277715703
62,10,0.12988456840002352
62,25,0.3738417533765347
62,50,0.39567902945488903
62,100,0.4868437217237627
62,200,0.557344252011181
62,400,0.7898391573439955
62,800,0.7951214895872334
63,10,0.29848969658707764
63,25,0.3546906913202072
63,50,0.37191224997441574
63,100,0.42682541100320065
63,200,0.5895014806242935
63,400,0.7286286741120076
63,800,0.9028927619764617
64,10,0.10891301699526676
64,25,0.11042774770193799
64,50,0.13148551697410013
64,100,0.21011100480918837
64,200,0.244806968488615
64,400,0.24514260005712682
64,800,0.653126779330774
65,10,0.4183136248895478
65,25,0.48566889087389487
65,50,0.5058137596133309
65,100,0.5445836260539975
65,200,0.5523883339049144
65,400,0.646764726930776
65,800,0.7691896542368403
66,10,0.0015582942813730243
66,25,0.031704151562389475
66,50,0.035752412920395785
66,100,0.09364053271421702
66,200,0.10426900263802164
66,400,0.12042619679032311
66,800,0.6776735754076845
67,10,0.03154478321030931
67,25,0.04459621175600689
67,50,0.2037689785770149
67,100,0.2653834355373933
67,200,0.3482899270004491
67,400,0.4547100266756797
67,800,0.673046685389497
68,10,0.0622510220700461
68,25,0.6154172758337814
68,50,0.6170341563156947
68,100,0.6249578924304656
68,200,0.6474715533542557
68,400,0.7363629858225252
68,800,0.773954801790164
69,10,0.3821467857900219
69,25,0.42715220845600393
69,50,0.47269635299404394
69,100,0.5720018739386047
69,200,0.5837847996179859
69,400,0.6488646653759683
69,800,0.6752008069137541
70,10,0.12896215570888703
70,25,0.18986684366370113
70,50,0.4207072574400557
70,100,0.4600774150536193
70,200,0.47959735049333035
70,400,0.5064616834692562
70,800,0.8950482643790558
71,10,0.2655442078219128
71,25,0.32170451396901195
71,50,0.3232886208394236
71,100,0.3402706090346899
71,200,0.34422415373624227
71,400,0.5337035425747371
71,800,0.5869433933206589
72,10,0.017007087637783084
72,25,0.08084341818643598
72,50,0.15110114175813927
72,100,0.1659772100552052
72,200,0.17099112037932254
72,400,0.30153603780857785
72,800,0.38528890811681354
73,10,0.048049831211240644
73,25,0.08307602777884898
73,50,0.12277518745684295
73,100,0.1586792075054579
73,200,0.3279036003745155
73,400,0.39744796932764304
73,800,0.6688265417556735
74,10,0.0017048394562136433
74,25,0.10418703818976016
74,50,0.1393483806452061
74,100,0.1670579289289156
74,200,0.21103052743969475
74,400,0.26364812249780706
74,800,0.29013550526218024
75,10,0.04373431553430958
75,25,0.09712231735115015
75,50,0.21812094007369554
75,100,0.36306044129017667
75,200,0.4127586024859354
75,400,0.4288285229783638
75,800,0.6341655722451088
76,10,0.05393275450002601
76,25,0.1646318275514646
76,50,0.24202530420796314
76,100,0.323189410708491
76,200,0.4521188723964543
76,400,0.6481028543317775
76,800,0.6928613492845412
77,10,0.11657925948564503
77,25,0.17517352989613452
77,50,0.27375040496705033
77,100,0.31257140158289715
77,200,0.36966166947375884
77,400,0.627261869145529
77,800,0.6331420145825536
78,10,0.033009831482113006
78,25,0.0485036514017722
78,50,0.25419737952521904
78,100,0.2726870807389119
78,200,0.4100508525691695
78,400,0.7537796039772676
78,800,0.8183085832271116
79,10,0.06810081800692586
79,25,0.1202322084108983
79,50,0.12562658307615457
79,100,0.27280150413412846
79,200,0.2982826629965829
79,400,0.33088774681099087
79,800,0.3478108236871555
80,10,0.07973822043204976
80,25,0.08652925414673435
80,50,0.0906045943166342
80,100,0.39522700420251144
80,200,0.4177794879173388
80,400,0.5923719886314227
80,800,0.6099668705277485
81,10,0.032891573094608204
81,25,0.03839421019658998
81,50,0.08755394154299084
81,100,0.09692078812213453
81,200,0.11322056786130923
81,400,0.2977276349585131
81,800,0.5217029354358367
82,10,0.10913830505394354
82,25,0.6453028682908215
82,50,0.6667554230478027
82,100,0.7789895833274135
82,200,0.8609032527352037
82,400,0.9718197410157473
82,800,0.9918206194900602
83,10,0.024486878991426354
83,25,0.05078088742714063
83,50,0.06596030968733381
83,100,0.14013889207091165
83,200,0.1465327380224753
83,400,0.17757383597093462
83,800,0.37796970936973456
84,10,0.0016559138053000818
84,25,0.0038826274357502697
84,50,0.05686073649560512
84,100,0.10768829054460737
84,200,0.12299425649658888
84,400,0.35053573426114
84,800,0.8924602822192296
85,10,0.2976874680818099
85,25,0.3418015069015464
85,50,0.4007973082455862
85,100,0.40411299528559574
85,200,0.4831533949926773
85,400,0.6270463018082069
85,800,0.6591926779200311
86,10,0.09061317608872255
86,25,0.14125641635501515
86,50,0.17653324206216442
86,100,0.20236447239767927
86,200,0.3720246234463504
86,400,0.6225594501568914
86,800,0.6459970106938764
87,10,0.3504674244097666
87,25,0.46790405627327974
87,50,0.6860381945914028
87,100,0.7258899543169431
87,200,0.7473208292340489
87,400,0.8183702693238455
87,800,0.8785953873842
88,10,0.04484443410845544
88,25,0.08909448619744915
88,50,0.4897919802101317
88,100,0.7980742088189122
88,200,0.8256423123685006
88,400,0.9058923041421549
88,800,0.9118749179460448
89,10,0.008876360279124855
89,25,0.223590247026089
89,50,0.32271894580625615
89,100,0.3862512633224737
89,200,0.5886596583019827
89,400,0.7261391782345543
89,800,0.7718666701927404
90,10,0.06715517734624278
90,25,0.15164973161769787
90,50,0.17722778328038352
90,100,0.20590334229943683
90,200,0.20663342405962662
90,400,0.2861380064949275
90,800,0.7728937630557021
91,10,0.26327679312377256
91,25,0.2698106801584001
91,50,0.3419716011098125
91,100,0.5968628295620164
91,200,0.6973649646973481
91,400,0.739518928332841
91,800,0.7987415092361164
92,10,0.044878048376751044
92,25,0.08865915480648491
92,50,0.14821576984031107
92,100,0.25438062916030485
92,200,0.5573750333733948
92,400,0.8713047543487854
92,800,0.8862457734483489
93,10,9.478590404093797e-4
93,25,0.021823529325873878
93,50,0.16162838930996845
93,100,0.16975710712014372
93,200,0.2509812451278203
93,400,0.5975567276223884
93,800,0.7825116227098099
94,10,0.03956945807361851
94,25,0.11028452286716078
94,50,0.13332557507877077
94,100,0.18659747218140468
94,200,0.19946007593662096
94,400,0.2088745827458308
94,800,0.25199966988800154
95,10,0.1253800786599387
95,25,0.1310433061949596
95,50,0.16496073408510162
95,100,0.31437174777226523
95,200,0.32379591589658413
95,400,0.45628940719640193
95,800,0.5885935366098622
96,10,0.10999439804049944
96,25,0.14495384295651956
96,50,0.20354277155939282
96,100,0.22456047363897688
96,200,0.2266313214545903
96,400,0.30056367915609356
96,800,0.5083115781804288
97,10,0.08437554782847399
97,25,0.10229546798730078
97,50,0.2334910438602727
97,100,0.2866744323460986
97,200,0.3934408036057036
97,400,0.44240695032788363
97,800,0.46235290727112294
98,10,0.11452524728655863
98,25,0.14085783610975086
98,50,0.32262641592113595
98,100,0.34873922379333955
98,200,0.4146340982414081
98,400,0.42923047597614206
98,800,0.5715340018764551
99,10,0.032907930290071226
99,25,0.09954722322902326
99,50,0.13147031091848327
99,100,0.14176159655293818
99,200,0.18765755886782806
99,400,0.19801693420989783
99,800,0.22895504860890759
100,10,0.022019544653102144
100,25,0.13260077802959927
100,50,0.16591819351758372
100,100,0.16696903836857735
100,200,0.18507901792915532
100,400,0.1974604902769631
100,800,0.23708738869268398
101,10,0.016581106798171062
101,25,0.13585342663677813
101,50,0.15529741484423298
101,100,0.2559935158371998
101,200,0.43444663136368744
101,400,0.5746609510149545
101,800,0.5816542178573314
102,10,0.017692103508507594
102,25,0.04641631921744473
102,50,0.06110241450292821
102,100,0.08593375562467997
102,200,0.11314952005191425
102,400,0.1389519870185242
102,800,0.33325180871756727
103,10,0.010432890159676831
103,25,0.029667388263616756
103,50,0.12167470060886182
103,100,0.19816486634418295
103,200,0.22606989199595387
103,400,0.24379396442614334
103,800,0.6242844195967553
104,10,0.0026195626808003304
104,25,0.01973581410829228
104,50,0.11559172045590448
104,100,0.13987451585703273
104,200,0.14437078766111303
104,400,0.16809776513731683
104,800,0.24709054138481476
105,10,0.16299003599944897
105,25,0.39999173230450835
105,50,0.5313127538077199
105,100,0.7482133178970519
105,200,0.7502927247242372
105,400,0.7518219065446865
105,800,0.78858130789470815
106,10,0.020229670532301985
106,25,0.05267494631656698
106,50,0.05397178637485819
106,100,0.11112681264299881
106,200,0.13736086599489405
106,400,0.14569186016658983
106,800,0.2555771517853293
107,10,0.254897293279261
107,25,0.2653010321104173
107,50,0.49611643259151
107,100,0.6016216164037727
107,200,0.6653926633356901
107,400,0.6700805333581976
107,800,0.6735238282443563
108,10,0.037819555328277035
108,25,0.2644756172133708
108,50,0.28747704155292275
108,100,0.40864399413080993
108,200,0.5676675381956469
108,400,0.704048810250843
108,800,0.8410216858627569
109,10,0.014701971841338618
109,25,0.09148021401704483
109,50,0.12935722157256616
109,100,0.20190328628755627
109,200,0.2740873756485168
109,400,0.47842958711149375
109,800,0.5415166028741261
110,10,0.05098641665658497
110,25,0.10267991262140683
110,50,0.10962130839637606
110,100,0.23485045311806352
110,200,0.363778042554934
110,400,0.4696649454281463
110,800,0.7109299286430907
111,10,0.027878501829458405
111,25,0.08695062758294912
111,50,0.12577951137610532
111,100,0.13077761495174706
111,200,0.15149971796645087
111,400,0.3130764912529918
111,800,0.5631452645020485
112,10,0.018806835809908863
112,25,0.04600336572413724
112,50,0.15002187870340497
112,100,0.26364613362997114
112,200,0.37925406788704324
112,400,0.7175439204793265
112,800,0.7494595195979796
113,10,0.0945000296702044
113,25,0.10993521679370555
113,50,0.1305599175393682
113,100,0.13185536670191733
113,200,0.15604856659905422
113,400,0.1953587962926053
113,800,0.25996801265572617
114,10,0.13953187864868466
114,25,0.23288752739122284
114,50,0.297073500290308
114,100,0.32437140047995466
114,200,0.40869934955855414
114,400,0.42765495700115375
114,800,0.44245284037757265
115,10,0.03887262389571207
115,25,0.23031581206761123
115,50,0.3721625805846063
115,100,0.6003914943957596
115,200,0.6699638870810444
115,400,0.720716949570338
115,800,0.7960076289972824
116,10,0.11672971003561819
116,25,0.19259446829710442
116,50,0.23461696286103265
116,100,0.30487001264391167
116,200,0.6025330439857931
116,400,0.7936102363270023
116,800,0.8638218074763547
117,10,0.007979883542867444
117,25,0.10465488993729469
117,50,0.11982316953813439
117,100,0.32780457830768567
117,200,0.5776877539222193
117,400,0.7926953169554477
117,800,0.82167273838321
118,10,0.06437559612723152
118,25,0.13937927812614267
118,50,0.17072875809399593
118,100,0.5104153843283004
118,200,0.5666843765164289
118,400,0.7114992435916216
118,800,0.918222727891565
119,10,0.02079752451521313
119,25,0.03506012497451936
119,50,0.1337719911404744
119,100,0.13811819649260837
119,200,0.16350267538020682
119,400,0.16376687723371353
119,800,0.8591052409813906
120,10,0.035472038739576786
120,25,0.10814834106789936
120,50,0.14290176470652077
120,100,0.1823650351293049
120,200,0.1887389123602378
120,400,0.23587177579978907
120,800,0.29616522858577315
121,10,0.1402017038024403
121,25,0.23150427243198712
121,50,0.3683226964836152
121,100,0.4134328428399813
121,200,0.5491821385563966
121,400,0.5719555135271585
121,800,0.6402732448488253
122,10,0.003631441155927527
122,25,0.007858661447002256
122,50,0.11080502596671857
122,100,0.13972905681563494
122,200,0.31467835902386737
122,400,0.3804842731295967
122,800,0.4342359150587037
123,10,0.03781600537417286
123,25,0.0381477991562057
123,50,0.08710407345349752
123,100,0.14083212577513826
123,200,0.14466724047418456
123,400,0.18862170339496695
123,800,0.22720803383382626
124,10,0.051414614225461557
124,25,0.41681428520420244
124,50,0.5140007370202553
124,100,0.5986532611085537
124,200,0.601573036226234
124,400,0.72541773494849
124,800,0.814375342341268
125,10,0.01795393411381309
125,25,0.21289794243309074
125,50,0.30354675607423076
125,100,0.5716577916546125
125,200,0.7770220412552329
125,400,0.8238640887101137
125,800,0.9464609001487126
126,10,0.2834141556051005
126,25,0.314380967673411
126,50,0.5176047457218586
126,100,0.6196655045920931
126,200,0.6326102854512171
126,400,0.6341405788630228
126,800,0.667060637075822
127,10,0.05597659844976689
127,25,0.0857046076624649
127,50,0.10881440131681196
127,100,0.26805553711481594
127,200,0.32436883067795613
127,400,0.43875101160902386
127,800,0.4593352706357562
128,10,0.019086935114127585
128,25,0.02530623935013249
128,50,0.06213397803793733
128,100,0.14105177339971886
128,200,0.18793433133234153
128,400,0.2192743125308678
128,800,0.22588266337182444
129,10,0.16741949573052484
129,25,0.6264498250145768
129,50,0.7095710063407634
129,100,0.7784895416511026
129,200,0.7979678308501804
129,400,0.8585689995844672
129,800,0.8906385036107021
130,10,0.14389536643109718
130,25,0.15895551267469255
130,50,0.3859540610591474
130,100,0.5534163900102519
130,200,0.706491803098786
130,400,0.7650060349376957
130,800,0.7730708114148742
131,10,0.003200695158552275
131,25,0.0707273003183581
131,50,0.13408591890766813
131,100,0.16444820548326775
131,200,0.1651684172537838
131,400,0.3272683307426978
131,800,0.5903791296812002
132,10,0.06284152117615158
132,25,0.07582728209929201
132,50,0.07673258430122236
132,100,0.07799810260709165
132,200,0.09905071440619505
132,400,0.1019857499968569
132,800,0.13036092318544582
133,10,0.18242616261789854
133,25,0.3430216145172772
133,50,0.3904992603518894
133,100,0.4557581132651437
133,200,0.4912834530753865
133,400,0.5974489022346823
133,800,0.7653718696071926
134,10,0.017418127474182553
134,25,0.03560329813265084
134,50,0.1496597439448923
134,100,0.16584389334654656
134,200,0.206431087688707
134,400,0.29351484120043425
134,800,0.3219643536417931
135,10,0.02405609223010468
135,25,0.04957609107441203
135,50,0.16217977686392723
135,100,0.17968838259702088
135,200,0.21116388175310805
135,400,0.2304500945012715
135,800,0.5720265934499138
136,10,0.4070722464187901
136,25,0.4413218038239763
136,50,0.5920459594820974
136,100,0.6179143883584048
136,200,0.6761663438916852
136,400,0.707086859617531
136,800,0.7247671764108725
137,10,0.02790715387420673
137,25,0.037108292863292085
137,50,0.04221335655884949
137,100,0.09793693917313849
137,200,0.2350931509185197
137,400,0.2827195058772766
137,800,0.28621613957010184
138,10,0.024295270957588433
138,25,0.14249919271464234
138,50,0.16180691403934516
138,100,0.1773437723971448
138,200,0.21477552634179234
138,400,0.76379460729288
138,800,0.854348392007992
139,10,0.18510540637315429
139,25,0.21625219603181386
139,50,0.22235328168310609
139,100,0.5209452302423876
139,200,0.6030020689466455
139,400,0.618670334495705
139,800,0.7593471747504303
140,10,0.04330883398481311
140,25,0.07575295097376328
140,50,0.13161286961889898
140,100,0.1379042543856943
140,200,0.18771604693309857
140,400,0.23298681613276656
140,800,0.24191722947864075
141,10,0.07284060335839022
141,25,0.09387885007322742
141,50,0.10859880573500323
141,100,0.20796262473321134
141,200,0.2288766134834833
141,400,0.27034600357278077
141,800,0.37983125756554764
142,10,0.05832481431851748
142,25,0.07905485359760302
142,50,0.1889882782519066
142,100,0.5467118391294121
142,200,0.6847315485406091
142,400,0.7718621980533794
142,800,0.801900159379907
143,10,0.13673208563780045
143,25,0.15449850932468465
143,50,0.2511671512349935
143,100,0.27376857153714607
143,200,0.3095762997750472
143,400,0.5795478383469856
143,800,0.6211054520458459
144,10,0.013206609612628898
144,25,0.0747118024449917
144,50,0.2748406140148752
144,100,0.476957894833507
144,200,0.581606857261856
144,400,0.6871975875935944
144,800,0.7410117995423984
145,10,0.053848464635278294
145,25,0.0594396720317912
145,50,0.13159754688630648
145,100,0.13677875660963726
145,200,0.2217690383497202
145,400,0.44166584961193567
145,800,0.7506185296373574
146,10,0.058071094029412185
146,25,0.1360033784847275
146,50,0.15006099893439376
146,100,0.1885753209426764
146,200,0.1902696194844161
146,400,0.2038691010566894
146,800,0.3306280081813573
147,10,0.09181221801356997
147,25,0.10020806729487096
147,50,0.15111713070219435
147,100,0.17927375448905766
147,200,0.2343674535098233
147,400,0.7316349003870213
147,800,0.9012607071747695
148,10,0.036833103047221365
148,25,0.4976946353443921
148,50,0.5379798334178948
148,100,0.5530294763918695
148,200,0.6310457966033632
148,400,0.6863343527396137
148,800,0.8178693772851646
149,10,0.004510830529922828
149,25,0.01134063779195315
149,50,0.09757807930009516
149,100,0.1297224857149013
149,200,0.14676388185037664
149,400,0.26909795968989747
149,800,0.2973440639782513
150,10,0.20225039312452223
150,25,0.2194933915554233
150,50,0.3712552262511318
150,100,0.5999884023227966
150,200,0.664017491946629
150,400,0.7215805141908882
150,800,0.9173552133034113
151,10,0.03178749848088198
151,25,0.13592325419567405
151,50,0.14051551091030814
151,100,0.17399587520108384
151,200,0.1767362201236324
151,400,0.18408945119385717
151,800,0.20541029819739773
152,10,0.19590348303018518
152,25,0.19912556731596784
152,50,0.3288361745731682
152,100,0.45011290871970505
152,200,0.7587323852225608
152,400,0.7831369851628819
152,800,0.9333393551403506
153,10,0.11543806021764758
153,25,0.12390718071584784
153,50,0.12658218561523674
153,100,0.16654913913424246
153,200,0.19500248715609028
153,400,0.19714487174549475
153,800,0.21467560846336062
154,10,0.001999845796646305
154,25,0.05288680790745256
154,50,0.14439640147941207
154,100,0.15779818402874654
154,200,0.1972360477283255
154,400,0.22182986487176426
154,800,0.362193162382557
